RELA	CNT
has_excluded_route_of_administration	1
germ_origin_of	1
allele_absent_from_wild-type_chromosomal_location	1
panel_element_of_possibly_included	1
after	1
inverse_ends_during	1
chromosomal_location_of_wild-type_gene	1
qualifier_applies_to	1
internal_to	1
has_germ_origin	1
before	1
has_possibly_included_panel_element	1
route_of_administration_of_excluded	1
imaged_anatomy_has_procedure	1
larger_than	1
procedure_has_imaged_anatomy	1
is_qualified_by	1
external_to	1
smaller_than	1
ends_during	1
approach_of_excluded	2
part_referred_to_by	2
effect_may_be_inhibited_by	2
locale_of_excluded	2
has_excluded_approach	2
relative_to_part_of	2
has_segmental_composition	2
treated_by	2
direct_cell_shape_of	2
treats	2
may_inhibit_effect_of	2
has_direct_cell_shape	2
segmental_composition_of	2
has_excluded_locale	2
full_grown_phenotype_of	3
allele_plays_role_in_metabolism_of_chemical_or_drug	3
has_observed_anatomical_entity	3
may_be_normal_tissue_origin_of_disease	3
chemical_or_drug_metabolism_is_associated_with_allele	3
disease_may_have_normal_tissue_origin	3
has_excluded_component	3
component_of_excluded	3
anatomical_entity_observed_in	3
has_full_grown_phenotype	3
has_connection_type	4
has_result	4
result_of	4
inherent_3d_shape_of	4
surface_characteristic_of	4
has_surface_texture	4
owning_affiliate_of	4
connection_type_of	4
has_inherent_3d_shape	4
has_owning_affiliate	4
has_surface_characteristic	4
surface_texture_of	4
left_lateral_to	5
surgical_extent_of_excluded	5
left_medial_to	5
right_medial_to	5
has_excluded_surgical_extent	5
right_lateral_to	5
has_grade	6
has_ingredient_qualitative_strength	6
merges_with	6
completely_excised_anatomy_may_have_procedure	6
ingredient_qualitative_strength_of	6
grade_of	6
procedure_may_have_completely_excised_anatomy	6
adheres_to	7
has_adherent	7
has_filling	7
fusion_of	7
has_fusion	7
filling_of	7
ingredient_characteristic_of	8
dependent_of	8
has_active_metabolites	8
has_stage	8
sub_specimen_included_by	8
has_ingredient_characteristic	8
stage_of	8
active_metabolites_of	8
has_dependent	8
includes_sub_specimen	8
has_excluded_patient_type	9
diagnosed_by	9
procedure_may_have_partially_excised_anatomy	9
partially_excised_anatomy_may_have_procedure	9
has_excluded_associated_finding	9
diagnoses	9
associated_finding_of_excluded	9
patient_type_of_excluded	9
data_element_of	10
has_data_element	10
has_possibly_included_route_of_administration	10
route_of_administration_of_possibly_included	10
owning_section_of	10
degree_of	10
has_owning_section	10
has_degree	10
role_is_parent_of	11
role_has_parent	11
cell_type_is_associated_with_eo_disease	13
has_possibly_included_surgical_extent	13
has_product_characteristic	13
has_development_type	13
surgical_extent_of_possibly_included	13
has_target_population	13
eo_disease_has_associated_cell_type	13
development_type_of	13
target_population_of	13
product_characteristic_of	13
procedure_may_have_excised_anatomy	14
has_possibly_included_patient_type	14
excised_anatomy_may_have_procedure	14
patient_type_of_possibly_included	14
formed_by	15
has_related_developmental_entity	15
related_developmental_entity_of	15
forms	15
component_of_possibly_included	16
has_possibly_included_component	16
chemical_or_drug_plays_role_in_biological_process	18
biological_process_involves_chemical_or_drug	18
associated_finding_of_possibly_included	19
has_possibly_included_associated_finding	19
may_qualify	20
superomedial_to	20
superolateral_to	20
inferolateral_to	20
inferomedial_to	20
may_be_qualified_by	20
precondition_of	21
has_precondition	21
develops_into	21
develops_from	21
happens_during	22
has_count_of_active_ingredient	22
count_of_active_ingredient_of	22
adjacent_to	22
inverse_happens_during	22
units_of	25
has_units	25
fuses_with	26
disease_is_marked_by_gene	26
gene_is_biomarker_of	26
