CUI1	STR1	RELA	STR2	CUI2
C0236642	Pick Disease of the Brain	NULL	Degenerative Diseases, Central Nervous System	C0270715
C1710317	TPMT*2 Allele	abnormality_associated_with_allele	Guanosine to Cytosine Transversion Abnormality	C1708262
C1515630	gp100:17-25 Peptide	abnormal_cell_affected_by_chemical_or_drug	Melanoma Cell	C1513095
C3876951	Nerve guide, bioabsorbable, synthetic	absorbability_of	Bioabsorbable	C5395723
C0186594	Arthroscopy of shoulder with removal of foreign body	access_device_used_by	Arthroscopes	C0179144
C0396463	Diagnostic endoscopic examination of bronchus and biopsy of lesion of lung using rigid bronchoscope	access_instrument_of	Rigid bronchoscope	C0179435
C0188926	Reduction of closed talus fracture with manipulation and percutaneous pinning	access_of	Percutaneous	C0522523
C0556182	Breast milk intake	acted_on_by_process	Milk, Human	C0026140
C0388013	respiratory syncytial virus immune globulin intravenous	active_ingredient_of	Immune Sera	C0020960
C0770426	codeine polistirex	active_metabolites_of	morphine	C0026549
C1617163	bacitracin zinc 0.4 UNT/MG / hydrocortisone acetate 0.01 MG/MG / Neomycin Sulfate 0.0035 MG/MG / Polymyxin B Sulfate 10 UNT/MG Ophthalmic Ointment	active_moiety_of	bacitracin	C0004599
C1707186	CYP2C19*7 Allele	activity_of_allele	Inactive - Biochemical Activity Level	C1705605
C0184517	Activity alteration	actual_outcome_of	Improved	C0184511
C3502050	Selective catheter placement, common carotid or innominate artery, unilateral, any approach, with angiography of the ipsilateral extracranial carotid circulation and all associated radiological supervision and interpretation, includes angiography of the cervicocerebral arch, when performed	add_on_code_for	Ultrasound guidance for vascular access requiring ultrasound evaluation of potential access sites, documentation of selected vessel patency, concurrent realtime ultrasound visualization of vascular needle entry, with permanent recording and reporting (List separately in addition to code for primary procedure)	C1314093
C0228124	Spinal dura mater	adheres_to	Spinal arachnoid mater	C2327522
C0014876	Esophagus	adjacent_to	Trachea	C0040578
C0812387	Feels cold	adjectival_form_of	Cold Temperature	C0009264
C1315723	pH^^adjusted to patient's actual temperature:LsCnc:Pt:BldA:Qn	adjustment_of	Adjusted to patients actual temperature	C1439358
C1183697	Right apical axillary lymphatic chain	afferent_to	Right subclavian lymphatic trunk	C0501360
C0456361	Pre-existing disease in renal transplant	after	Kidney Transplantation	C0022671
C1426329	AAK1 gene	alias_of	AAK1 gene	C1426329
C1521114	22q13.1	allele_absent_from_wild-type_chromosomal_location	CYP2D6*5 Allele	C1707227
C1519478	Splice-Site Mutation	allele_has_abnormality	CYP3A5*10 Allele	C1706121
C1705605	Inactive - Biochemical Activity Level	allele_has_activity	CYP2C19*3 Allele	C1707182
C1521648	7q22.1	allele_in_chromosomal_location	CYP3A5*9 Allele	C1707238
C1154744	Xenobiotic Metabolism	allele_plays_altered_role_in_process	CYP3A5*8 Allele	C1707237
C0003289	Antidepressive Agents	allele_plays_role_in_metabolism_of_chemical_or_drug	CYP2D6*1 Allele	C1707216
C1412388	AMPD2 gene	allelic_variant_of	AMPD2, TYR349TER	C4011391
C0476386	[D]Placental imaging abnormal	alternative_of	Placentography abnormal	C0436519
C0489338	R wave duration.lead V5:Time:Pt:Heart:Qn:EKG	analyzed_by	Heart	C0018787
C0487953	serum/plasma	analyzes	Amitriptyline:SCnc:Pt:Ser/Plas:Qn	C0797773
C0814992	Neural Groove	anatomical_entity_observed_in	Carnegie stage 9	C4242663
C1179187	Lamina Propria	anatomic_structure_has_location	Bladder Muscularis Mucosa	C1511195
C0230839	Mitochondrial Membrane, Outer	anatomic_structure_is_physical_part_of	Voltage-Dependent Anion Channels	C1506024
C1326082	Granulocyte differentiation	anatomy_originated_from_biological_process	granulocyte	C0018183
C0804630	Birthplace:Identifier:Point in time:^Patient:Nominal	answer_to	Northwest Territories, Yukon Territory	C3846594
C1271569	Nelaton catheter sterile	answer_to_is_sterile	True	C0205238
C0934302	Left parietal bone	anterior_to	Structure of coronal suture of skull	C0224527
C2330499	Myocardium of mid lateral zone right ventricle	anteroinferior_to	Myocardium of apical lateral zone of right ventricle	C2336648
C2327034	Septal myocardium of left ventricle	anterolateral_to	Myocardium of left ventricle	C0225899
C1181114	Left basal segmental artery	anteromedial_to	T7 part of heart	C2323501
C0507855	Wall of inferior vena cava	anterosuperior_to	Wall of biatrial part of heart	C2335086
C0202921	Translumbar angiography of aorta	approach_of	Translumbar approach	C0522515
